Metric,Value
Interview Duration,31.03 seconds
Maximum Simultaneous Faces,1
Off-Screen Duration,0.00 seconds
Average Head Rotation,2.06 degrees

Violations,
Multiple Faces Detected,0
Face Off-Screen Instances,0
Excessive Head Rotation Instances,0
Identity Verification Failed,False
Identity Mismatch Count,0

MediaPipe Emotion Percentages,
browInnerUp,16.64%
jawForward,0.04%
jawOpen,0.59%
mouthPucker,19.00%

DeepFace Analysis,
Emotion,Percentage
angry,1.89%
disgust,0.00%
fear,9.05%
happy,1.24%
sad,13.28%
surprise,0.00%
neutral,74.54%
Gender,Percentage
Man,0.00%
Woman,0.00%
Race,Percentage
asian,0.00%
indian,0.00%
black,0.00%
white,0.00%
middle eastern,0.00%
latino hispanic,0.00%
Average Age,0.00
Average Face Confidence,0.00
Face Detection Rate,15.62%
Analyzed Frames,64
Valid Face Detections,10
