Metric,Value
Interview Duration,20.99 seconds
Maximum Simultaneous Faces,1
Off-Screen Duration,16.39 seconds
Average Head Rotation,-89.62 degrees
,
Violations,
Multiple Faces Detected,0
Face Off-Screen Instances,415
Excessive Head Rotation Instances,415
,
Emotion Percentages,
browDownLeft,5.95%
browDownRight,4.76%
browInnerUp,4.82%
browOuterUpLeft,11.54%
browOuterUpRight,11.40%
eyeSquintLeft,30.63%
eyeSquintRight,29.40%
jawForward,0.01%
jawOpen,1.25%
mouthFrownLeft,0.64%
mouthFrownRight,0.78%
mouthPucker,21.20%
mouthSmileLeft,1.23%
mouthSmileRight,1.12%
